,M_atk_dice,N_def_dice,Phr,Ph,Pe,atk_tl,atk_f,def_f,def_num_ev,EV_res,atk_ev,def_ev,pe,ph
0,1,1,[0.3516 0.6484],,,True,True,True,0,0.3516,0.9375,True,[0.625 0.375],[0.9375 0.0625]
1,1,1,[0. 1.],,,True,True,True,1,0.0,0.9375,True,[1. 0.],[0.9375 0.0625]
2,1,1,[0. 1.],,,True,True,True,2,0.0,0.9375,True,[1. 0.],[0.9375 0.0625]
3,1,1,[0.5859 0.4141],,,True,True,False,0,0.5859,0.9375,False,[0.375 0.625],[0.9375 0.0625]
4,1,1,[0. 1.],,,True,True,False,1,0.0,0.9375,False,[1. 0.],[0.9375 0.0625]
5,1,1,[0. 1.],,,True,True,False,2,0.0,0.9375,False,[1. 0.],[0.9375 0.0625]
6,1,1,[0.2812 0.7188],,,False,True,True,0,0.2812,0.75,True,[0.625 0.375],[0.75 0.25]
7,1,1,[0. 1.],,,False,True,True,1,0.0,0.75,True,[1. 0.],[0.75 0.25]
8,1,1,[0. 1.],,,False,True,True,2,0.0,0.75,True,[1. 0.],[0.75 0.25]
9,1,1,[0.4688 0.5312],,,False,True,False,0,0.4688,0.75,False,[0.375 0.625],[0.75 0.25]
10,1,1,[0. 1.],,,False,True,False,1,0.0,0.75,False,[1. 0.],[0.75 0.25]
11,1,1,[0. 1.],,,False,True,False,2,0.0,0.75,False,[1. 0.],[0.75 0.25]
12,1,1,[0.2812 0.7188],,,True,False,True,0,0.2812,0.75,True,[0.625 0.375],[0.75 0.25]
13,1,1,[0. 1.],,,True,False,True,1,0.0,0.75,True,[1. 0.],[0.75 0.25]
14,1,1,[0. 1.],,,True,False,True,2,0.0,0.75,True,[1. 0.],[0.75 0.25]
15,1,1,[0.4688 0.5312],,,True,False,False,0,0.4688,0.75,False,[0.375 0.625],[0.75 0.25]
16,1,1,[0. 1.],,,True,False,False,1,0.0,0.75,False,[1. 0.],[0.75 0.25]
17,1,1,[0. 1.],,,True,False,False,2,0.0,0.75,False,[1. 0.],[0.75 0.25]
18,1,1,[0.1875 0.8125],,,False,False,True,0,0.1875,0.5,True,[0.625 0.375],[0.5 0.5]
19,1,1,[0. 1.],,,False,False,True,1,0.0,0.5,True,[1. 0.],[0.5 0.5]
20,1,1,[0. 1.],,,False,False,True,2,0.0,0.5,True,[1. 0.],[0.5 0.5]
21,1,1,[0.3125 0.6875],,,False,False,False,0,0.3125,0.5,False,[0.375 0.625],[0.5 0.5]
22,1,1,[0. 1.],,,False,False,False,1,0.0,0.5,False,[1. 0.],[0.5 0.5]
23,1,1,[0. 1.],,,False,False,False,2,0.0,0.5,False,[1. 0.],[0.5 0.5]
24,1,2,[0.1318 0.8682],,,True,True,True,0,0.1318,0.9375,True,[0.3906 0.4688 0.1406],[0.     0.9375 0.0625]
25,1,2,[0. 1.],,,True,True,True,1,0.0,0.9375,True,[0.1406 0.8594 0.    ],[0.     0.9375 0.0625]
26,1,2,[0. 1.],,,True,True,True,2,0.0,0.9375,True,[1. 0. 0.],[0.     0.9375 0.0625]
27,1,2,[0.3662 0.6338],,,True,True,False,0,0.3662,0.9375,False,[0.1406 0.4688 0.3906],[0.     0.9375 0.0625]
28,1,2,[0. 1.],,,True,True,False,1,0.0,0.9375,False,[0.1406 0.8594 0.    ],[0.     0.9375 0.0625]
29,1,2,[0. 1.],,,True,True,False,2,0.0,0.9375,False,[1. 0. 0.],[0.     0.9375 0.0625]
30,1,2,[0.1055 0.8945],,,False,True,True,0,0.1055,0.75,True,[0.3906 0.4688 0.1406],[0.   0.75 0.25]
31,1,2,[0. 1.],,,False,True,True,1,0.0,0.75,True,[0.1406 0.8594 0.    ],[0.   0.75 0.25]
32,1,2,[0. 1.],,,False,True,True,2,0.0,0.75,True,[1. 0. 0.],[0.   0.75 0.25]
33,1,2,[0.293 0.707],,,False,True,False,0,0.293,0.75,False,[0.1406 0.4688 0.3906],[0.   0.75 0.25]
34,1,2,[0. 1.],,,False,True,False,1,0.0,0.75,False,[0.1406 0.8594 0.    ],[0.   0.75 0.25]
35,1,2,[0. 1.],,,False,True,False,2,0.0,0.75,False,[1. 0. 0.],[0.   0.75 0.25]
36,1,2,[0.1055 0.8945],,,True,False,True,0,0.1055,0.75,True,[0.3906 0.4688 0.1406],[0.   0.75 0.25]
37,1,2,[0. 1.],,,True,False,True,1,0.0,0.75,True,[0.1406 0.8594 0.    ],[0.   0.75 0.25]
38,1,2,[0. 1.],,,True,False,True,2,0.0,0.75,True,[1. 0. 0.],[0.   0.75 0.25]
39,1,2,[0.293 0.707],,,True,False,False,0,0.293,0.75,False,[0.1406 0.4688 0.3906],[0.   0.75 0.25]
40,1,2,[0. 1.],,,True,False,False,1,0.0,0.75,False,[0.1406 0.8594 0.    ],[0.   0.75 0.25]
41,1,2,[0. 1.],,,True,False,False,2,0.0,0.75,False,[1. 0. 0.],[0.   0.75 0.25]
42,1,2,[0.0703 0.9297],,,False,False,True,0,0.0703,0.5,True,[0.3906 0.4688 0.1406],[0.  0.5 0.5]
43,1,2,[0. 1.],,,False,False,True,1,0.0,0.5,True,[0.1406 0.8594 0.    ],[0.  0.5 0.5]
44,1,2,[0. 1.],,,False,False,True,2,0.0,0.5,True,[1. 0. 0.],[0.  0.5 0.5]
45,1,2,[0.1953 0.8047],,,False,False,False,0,0.1953,0.5,False,[0.1406 0.4688 0.3906],[0.  0.5 0.5]
46,1,2,[0. 1.],,,False,False,False,1,0.0,0.5,False,[0.1406 0.8594 0.    ],[0.  0.5 0.5]
47,1,2,[0. 1.],,,False,False,False,2,0.0,0.5,False,[1. 0. 0.],[0.  0.5 0.5]
48,1,3,[0.0494 0.9506],,,True,True,True,0,0.0494,0.9375,True,[0.2441 0.4395 0.2637 0.0527],[0.     0.     0.9375 0.0625]
49,1,3,[0. 1.],,,True,True,True,1,0.0,0.9375,True,[0.0527 0.2637 0.6836 0.    ],[0.     0.     0.9375 0.0625]
50,1,3,[0. 1.],,,True,True,True,2,0.0,0.9375,True,[0.0527 0.9473 0.     0.    ],[0.     0.     0.9375 0.0625]
51,1,3,[0.2289 0.7711],,,True,True,False,0,0.2289,0.9375,False,[0.0527 0.2637 0.4395 0.2441],[0.     0.     0.9375 0.0625]
52,1,3,[0. 1.],,,True,True,False,1,0.0,0.9375,False,[0.0527 0.2637 0.6836 0.    ],[0.     0.     0.9375 0.0625]
53,1,3,[0. 1.],,,True,True,False,2,0.0,0.9375,False,[0.0527 0.9473 0.     0.    ],[0.     0.     0.9375 0.0625]
54,1,3,[0.0396 0.9604],,,False,True,True,0,0.0396,0.75,True,[0.2441 0.4395 0.2637 0.0527],[0.   0.   0.75 0.25]
55,1,3,[0. 1.],,,False,True,True,1,0.0,0.75,True,[0.0527 0.2637 0.6836 0.    ],[0.   0.   0.75 0.25]
56,1,3,[0. 1.],,,False,True,True,2,0.0,0.75,True,[0.0527 0.9473 0.     0.    ],[0.   0.   0.75 0.25]
57,1,3,[0.1831 0.8169],,,False,True,False,0,0.1831,0.75,False,[0.0527 0.2637 0.4395 0.2441],[0.   0.   0.75 0.25]
58,1,3,[0. 1.],,,False,True,False,1,0.0,0.75,False,[0.0527 0.2637 0.6836 0.    ],[0.   0.   0.75 0.25]
59,1,3,[0. 1.],,,False,True,False,2,0.0,0.75,False,[0.0527 0.9473 0.     0.    ],[0.   0.   0.75 0.25]
60,1,3,[0.0396 0.9604],,,True,False,True,0,0.0396,0.75,True,[0.2441 0.4395 0.2637 0.0527],[0.   0.   0.75 0.25]
61,1,3,[0. 1.],,,True,False,True,1,0.0,0.75,True,[0.0527 0.2637 0.6836 0.    ],[0.   0.   0.75 0.25]
62,1,3,[0. 1.],,,True,False,True,2,0.0,0.75,True,[0.0527 0.9473 0.     0.    ],[0.   0.   0.75 0.25]
63,1,3,[0.1831 0.8169],,,True,False,False,0,0.1831,0.75,False,[0.0527 0.2637 0.4395 0.2441],[0.   0.   0.75 0.25]
64,1,3,[0. 1.],,,True,False,False,1,0.0,0.75,False,[0.0527 0.2637 0.6836 0.    ],[0.   0.   0.75 0.25]
65,1,3,[0. 1.],,,True,False,False,2,0.0,0.75,False,[0.0527 0.9473 0.     0.    ],[0.   0.   0.75 0.25]
66,1,3,[0.0264 0.9736],,,False,False,True,0,0.0264,0.5,True,[0.2441 0.4395 0.2637 0.0527],[0.  0.  0.5 0.5]
67,1,3,[0. 1.],,,False,False,True,1,0.0,0.5,True,[0.0527 0.2637 0.6836 0.    ],[0.  0.  0.5 0.5]
68,1,3,[0. 1.],,,False,False,True,2,0.0,0.5,True,[0.0527 0.9473 0.     0.    ],[0.  0.  0.5 0.5]
69,1,3,[0.1221 0.8779],,,False,False,False,0,0.1221,0.5,False,[0.0527 0.2637 0.4395 0.2441],[0.  0.  0.5 0.5]
70,1,3,[0. 1.],,,False,False,False,1,0.0,0.5,False,[0.0527 0.2637 0.6836 0.    ],[0.  0.  0.5 0.5]
71,1,3,[0. 1.],,,False,False,False,2,0.0,0.5,False,[0.0527 0.9473 0.     0.    ],[0.  0.  0.5 0.5]
72,1,4,[0.0185 0.9815],,,True,True,True,0,0.0185,0.9375,True,[0.1526 0.3662 0.3296 0.1318 0.0198],[0.     0.     0.     0.9375 0.0625]
73,1,4,[0. 1.],,,True,True,True,1,0.0,0.9375,True,[0.0198 0.1318 0.3296 0.5188 0.    ],[0.     0.     0.     0.9375 0.0625]
74,1,4,[0. 1.],,,True,True,True,2,0.0,0.9375,True,[0.0198 0.1318 0.8484 0.     0.    ],[0.     0.     0.     0.9375 0.0625]
75,1,4,[0.1431 0.8569],,,True,True,False,0,0.1431,0.9375,False,[0.0198 0.1318 0.3296 0.3662 0.1526],[0.     0.     0.     0.9375 0.0625]
76,1,4,[0. 1.],,,True,True,False,1,0.0,0.9375,False,[0.0198 0.1318 0.3296 0.5188 0.    ],[0.     0.     0.     0.9375 0.0625]
77,1,4,[0. 1.],,,True,True,False,2,0.0,0.9375,False,[0.0198 0.1318 0.8484 0.     0.    ],[0.     0.     0.     0.9375 0.0625]
78,1,4,[0.0148 0.9852],,,False,True,True,0,0.0148,0.75,True,[0.1526 0.3662 0.3296 0.1318 0.0198],[0.   0.   0.   0.75 0.25]
79,1,4,[0. 1.],,,False,True,True,1,0.0,0.75,True,[0.0198 0.1318 0.3296 0.5188 0.    ],[0.   0.   0.   0.75 0.25]
80,1,4,[0. 1.],,,False,True,True,2,0.0,0.75,True,[0.0198 0.1318 0.8484 0.     0.    ],[0.   0.   0.   0.75 0.25]
81,1,4,[0.1144 0.8856],,,False,True,False,0,0.1144,0.75,False,[0.0198 0.1318 0.3296 0.3662 0.1526],[0.   0.   0.   0.75 0.25]
82,1,4,[0. 1.],,,False,True,False,1,0.0,0.75,False,[0.0198 0.1318 0.3296 0.5188 0.    ],[0.   0.   0.   0.75 0.25]
83,1,4,[0. 1.],,,False,True,False,2,0.0,0.75,False,[0.0198 0.1318 0.8484 0.     0.    ],[0.   0.   0.   0.75 0.25]
84,1,4,[0.0148 0.9852],,,True,False,True,0,0.0148,0.75,True,[0.1526 0.3662 0.3296 0.1318 0.0198],[0.   0.   0.   0.75 0.25]
85,1,4,[0. 1.],,,True,False,True,1,0.0,0.75,True,[0.0198 0.1318 0.3296 0.5188 0.    ],[0.   0.   0.   0.75 0.25]
86,1,4,[0. 1.],,,True,False,True,2,0.0,0.75,True,[0.0198 0.1318 0.8484 0.     0.    ],[0.   0.   0.   0.75 0.25]
87,1,4,[0.1144 0.8856],,,True,False,False,0,0.1144,0.75,False,[0.0198 0.1318 0.3296 0.3662 0.1526],[0.   0.   0.   0.75 0.25]
88,1,4,[0. 1.],,,True,False,False,1,0.0,0.75,False,[0.0198 0.1318 0.3296 0.5188 0.    ],[0.   0.   0.   0.75 0.25]
89,1,4,[0. 1.],,,True,False,False,2,0.0,0.75,False,[0.0198 0.1318 0.8484 0.     0.    ],[0.   0.   0.   0.75 0.25]
90,1,4,[0.0099 0.9901],,,False,False,True,0,0.0099,0.5,True,[0.1526 0.3662 0.3296 0.1318 0.0198],[0.  0.  0.  0.5 0.5]
91,1,4,[0. 1.],,,False,False,True,1,0.0,0.5,True,[0.0198 0.1318 0.3296 0.5188 0.    ],[0.  0.  0.  0.5 0.5]
92,1,4,[0. 1.],,,False,False,True,2,0.0,0.5,True,[0.0198 0.1318 0.8484 0.     0.    ],[0.  0.  0.  0.5 0.5]
93,1,4,[0.0763 0.9237],,,False,False,False,0,0.0763,0.5,False,[0.0198 0.1318 0.3296 0.3662 0.1526],[0.  0.  0.  0.5 0.5]
94,1,4,[0. 1.],,,False,False,False,1,0.0,0.5,False,[0.0198 0.1318 0.3296 0.5188 0.    ],[0.  0.  0.  0.5 0.5]
95,1,4,[0. 1.],,,False,False,False,2,0.0,0.5,False,[0.0198 0.1318 0.8484 0.     0.    ],[0.  0.  0.  0.5 0.5]
96,1,5,[0.007 0.993],,,True,True,True,0,0.007,0.9375,True,[0.0954 0.2861 0.3433 0.206  0.0618 0.0074],[0.     0.     0.     0.     0.9375 0.0625]
97,1,5,[0. 1.],,,True,True,True,1,0.0,0.9375,True,[0.0074 0.0618 0.206  0.3433 0.3815 0.    ],[0.     0.     0.     0.     0.9375 0.0625]
98,1,5,[0. 1.],,,True,True,True,2,0.0,0.9375,True,[0.0074 0.0618 0.206  0.7248 0.     0.    ],[0.     0.     0.     0.     0.9375 0.0625]
99,1,5,[0.0894 0.9106],,,True,True,False,0,0.0894,0.9375,False,[0.0074 0.0618 0.206  0.3433 0.2861 0.0954],[0.     0.     0.     0.     0.9375 0.0625]
100,1,5,[0. 1.],,,True,True,False,1,0.0,0.9375,False,[0.0074 0.0618 0.206  0.3433 0.3815 0.    ],[0.     0.     0.     0.     0.9375 0.0625]
101,1,5,[0. 1.],,,True,True,False,2,0.0,0.9375,False,[0.0074 0.0618 0.206  0.7248 0.     0.    ],[0.     0.     0.     0.     0.9375 0.0625]
102,1,5,[0.0056 0.9944],,,False,True,True,0,0.0056,0.75,True,[0.0954 0.2861 0.3433 0.206  0.0618 0.0074],[0.   0.   0.   0.   0.75 0.25]
103,1,5,[0. 1.],,,False,True,True,1,0.0,0.75,True,[0.0074 0.0618 0.206  0.3433 0.3815 0.    ],[0.   0.   0.   0.   0.75 0.25]
104,1,5,[0. 1.],,,False,True,True,2,0.0,0.75,True,[0.0074 0.0618 0.206  0.7248 0.     0.    ],[0.   0.   0.   0.   0.75 0.25]
105,1,5,[0.0715 0.9285],,,False,True,False,0,0.0715,0.75,False,[0.0074 0.0618 0.206  0.3433 0.2861 0.0954],[0.   0.   0.   0.   0.75 0.25]
106,1,5,[0. 1.],,,False,True,False,1,0.0,0.75,False,[0.0074 0.0618 0.206  0.3433 0.3815 0.    ],[0.   0.   0.   0.   0.75 0.25]
107,1,5,[0. 1.],,,False,True,False,2,0.0,0.75,False,[0.0074 0.0618 0.206  0.7248 0.     0.    ],[0.   0.   0.   0.   0.75 0.25]
108,1,5,[0.0056 0.9944],,,True,False,True,0,0.0056,0.75,True,[0.0954 0.2861 0.3433 0.206  0.0618 0.0074],[0.   0.   0.   0.   0.75 0.25]
109,1,5,[0. 1.],,,True,False,True,1,0.0,0.75,True,[0.0074 0.0618 0.206  0.3433 0.3815 0.    ],[0.   0.   0.   0.   0.75 0.25]
110,1,5,[0. 1.],,,True,False,True,2,0.0,0.75,True,[0.0074 0.0618 0.206  0.7248 0.     0.    ],[0.   0.   0.   0.   0.75 0.25]
111,1,5,[0.0715 0.9285],,,True,False,False,0,0.0715,0.75,False,[0.0074 0.0618 0.206  0.3433 0.2861 0.0954],[0.   0.   0.   0.   0.75 0.25]
112,1,5,[0. 1.],,,True,False,False,1,0.0,0.75,False,[0.0074 0.0618 0.206  0.3433 0.3815 0.    ],[0.   0.   0.   0.   0.75 0.25]
113,1,5,[0. 1.],,,True,False,False,2,0.0,0.75,False,[0.0074 0.0618 0.206  0.7248 0.     0.    ],[0.   0.   0.   0.   0.75 0.25]
114,1,5,[0.0037 0.9963],,,False,False,True,0,0.0037,0.5,True,[0.0954 0.2861 0.3433 0.206  0.0618 0.0074],[0.  0.  0.  0.  0.5 0.5]
115,1,5,[0. 1.],,,False,False,True,1,0.0,0.5,True,[0.0074 0.0618 0.206  0.3433 0.3815 0.    ],[0.  0.  0.  0.  0.5 0.5]
116,1,5,[0. 1.],,,False,False,True,2,0.0,0.5,True,[0.0074 0.0618 0.206  0.7248 0.     0.    ],[0.  0.  0.  0.  0.5 0.5]
117,1,5,[0.0477 0.9523],,,False,False,False,0,0.0477,0.5,False,[0.0074 0.0618 0.206  0.3433 0.2861 0.0954],[0.  0.  0.  0.  0.5 0.5]
118,1,5,[0. 1.],,,False,False,False,1,0.0,0.5,False,[0.0074 0.0618 0.206  0.3433 0.3815 0.    ],[0.  0.  0.  0.  0.5 0.5]
119,1,5,[0. 1.],,,False,False,False,2,0.0,0.5,False,[0.0074 0.0618 0.206  0.7248 0.     0.    ],[0.  0.  0.  0.  0.5 0.5]
120,2,1,[0.3296 0.5933 0.0771],,,True,True,True,0,1.2524,1.875,True,[0.625 0.375],[0.8789 0.1172 0.0039]
121,2,1,[0.     0.8789 0.1211],,,True,True,True,1,0.8789,1.875,True,[1. 0.],[0.8789 0.1172 0.0039]
122,2,1,[0.     0.8789 0.1211],,,True,True,True,2,0.8789,1.875,True,[1. 0.],[0.8789 0.1172 0.0039]
123,2,1,[0.5493 0.4028 0.0479],,,True,True,False,0,1.5015,1.875,False,[0.375 0.625],[0.8789 0.1172 0.0039]
124,2,1,[0.     0.8789 0.1211],,,True,True,False,1,0.8789,1.875,False,[1. 0.],[0.8789 0.1172 0.0039]
125,2,1,[0.     0.8789 0.1211],,,True,True,False,2,0.8789,1.875,False,[1. 0.],[0.8789 0.1172 0.0039]
126,2,1,[0.2109 0.4922 0.2969],,,False,True,True,0,0.9141,1.5,True,[0.625 0.375],[0.5625 0.375  0.0625]
127,2,1,[0.     0.5625 0.4375],,,False,True,True,1,0.5625,1.5,True,[1. 0.],[0.5625 0.375  0.0625]
128,2,1,[0.     0.5625 0.4375],,,False,True,True,2,0.5625,1.5,True,[1. 0.],[0.5625 0.375  0.0625]
129,2,1,[0.3516 0.4453 0.2031],,,False,True,False,0,1.1484,1.5,False,[0.375 0.625],[0.5625 0.375  0.0625]
130,2,1,[0.     0.5625 0.4375],,,False,True,False,1,0.5625,1.5,False,[1. 0.],[0.5625 0.375  0.0625]
131,2,1,[0.     0.5625 0.4375],,,False,True,False,2,0.5625,1.5,False,[1. 0.],[0.5625 0.375  0.0625]
132,2,1,[0.2109 0.4922 0.2969],,,True,False,True,0,0.9141,1.5,True,[0.625 0.375],[0.5625 0.375  0.0625]
133,2,1,[0.     0.5625 0.4375],,,True,False,True,1,0.5625,1.5,True,[1. 0.],[0.5625 0.375  0.0625]
134,2,1,[0.     0.5625 0.4375],,,True,False,True,2,0.5625,1.5,True,[1. 0.],[0.5625 0.375  0.0625]
135,2,1,[0.3516 0.4453 0.2031],,,True,False,False,0,1.1484,1.5,False,[0.375 0.625],[0.5625 0.375  0.0625]
136,2,1,[0.     0.5625 0.4375],,,True,False,False,1,0.5625,1.5,False,[1. 0.],[0.5625 0.375  0.0625]
137,2,1,[0.     0.5625 0.4375],,,True,False,False,2,0.5625,1.5,False,[1. 0.],[0.5625 0.375  0.0625]
138,2,1,[0.0938 0.3438 0.5625],,,False,False,True,0,0.5312,1.0,True,[0.625 0.375],[0.25 0.5  0.25]
139,2,1,[0.   0.25 0.75],,,False,False,True,1,0.25,1.0,True,[1. 0.],[0.25 0.5  0.25]
140,2,1,[0.   0.25 0.75],,,False,False,True,2,0.25,1.0,True,[1. 0.],[0.25 0.5  0.25]
141,2,1,[0.1562 0.4062 0.4375],,,False,False,False,0,0.7188,1.0,False,[0.375 0.625],[0.25 0.5  0.25]
142,2,1,[0.   0.25 0.75],,,False,False,False,1,0.25,1.0,False,[1. 0.],[0.25 0.5  0.25]
143,2,1,[0.   0.25 0.75],,,False,False,False,2,0.25,1.0,False,[1. 0.],[0.25 0.5  0.25]
144,2,2,[0.1236 0.4285 0.4479],,,True,True,True,0,0.6757,1.875,True,[0.3906 0.4688 0.1406],[0.8789 0.1172 0.0039]
145,2,2,[0.     0.7553 0.2447],,,True,True,True,1,0.7553,1.875,True,[0.1406 0.8594 0.    ],[0.8789 0.1172 0.0039]
146,2,2,[0. 0. 1.],,,True,True,True,2,0.0,1.875,True,[1. 0. 0.],[0.8789 0.1172 0.0039]
147,2,2,[0.3433 0.4578 0.1989],,,True,True,False,0,1.1444,1.875,False,[0.1406 0.4688 0.3906],[0.8789 0.1172 0.0039]
148,2,2,[0.     0.7553 0.2447],,,True,True,False,1,0.7553,1.875,False,[0.1406 0.8594 0.    ],[0.8789 0.1172 0.0039]
149,2,2,[0. 0. 1.],,,True,True,False,2,0.0,1.875,False,[1. 0. 0.],[0.8789 0.1172 0.0039]
150,2,2,[0.0791 0.3164 0.6045],,,False,True,True,0,0.4746,1.5,True,[0.3906 0.4688 0.1406],[0.5625 0.375  0.0625]
151,2,2,[0.     0.4834 0.5166],,,False,True,True,1,0.4834,1.5,True,[0.1406 0.8594 0.    ],[0.5625 0.375  0.0625]
152,2,2,[0. 0. 1.],,,False,True,True,2,0.0,1.5,True,[1. 0. 0.],[0.5625 0.375  0.0625]
153,2,2,[0.2197 0.4102 0.3701],,,False,True,False,0,0.8496,1.5,False,[0.1406 0.4688 0.3906],[0.5625 0.375  0.0625]
154,2,2,[0.     0.4834 0.5166],,,False,True,False,1,0.4834,1.5,False,[0.1406 0.8594 0.    ],[0.5625 0.375  0.0625]
155,2,2,[0. 0. 1.],,,False,True,False,2,0.0,1.5,False,[1. 0. 0.],[0.5625 0.375  0.0625]
